reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
a0e37f9f-331c-4ae7-8a44-43f4202a211f,Dennis,Happy.Biryhday my friend,5,0,,5/15/2024 21:58,
9f8c42b3-dcf1-4e7f-83c4-75cbba83e0b2,BLANK TRL,Its a fake social media app that controls what you can post to monopalize the information you and everyone you know to recieve fake new along with real but doctored so that its unoticed and wish to file a court case if you make a post asking friends that have told you to post to let them know that you are out of weed then then if fraud update still full of fraud and they add new algorithm to make sure you have worst time trying to fast forward through videos to see result!,1,3,268.1.0.54.121,5/15/2024 21:57,268.1.0.54.121
3a7b2259-7e98-4e2b-95ee-35f020f36039,Tisoy pogi,furf,5,0,463.1.0.53.85,5/15/2024 21:57,463.1.0.53.85
65bca32a-63cb-4a75-bbcc-2edcfb434f8d,jhon rey nueva,i like facebook,4,0,,5/15/2024 21:56,
5ee6896a-bff1-47d8-aac0-85c746b4ba8d,Serrius LeDamaged,Too many sponsored or suggested pages. I counted 12 algorithm posts between followed page or friend posts. A 12:1 ad to true content ratio! Wow... This isn't social it's just media.,1,3,228.0.0.41.124,5/15/2024 21:56,228.0.0.41.124
fabe2b6a-988f-4e62-b0f5-f557a3714023,Margaret Annette Smith,Never ben 23rd no im scare 2 get on it .So I'm no5 playing with my delight and anybody else can help you out there U DAMM COMPUTER de 2 para el hate texting de julio de este good i para there i de los que están pendientes para short hand it .bu ck en vam 5⁰0 xr othingʻ para time off all the leftter ⁵para around de iffru t mobil3⁴³moŕɛ 2 para goers 2c en 9th para 500 worðß othing took me 30 mins 2 para ðam n̈ de nope 43$ 6th die para que i. M a tyness u bucks àn ha mm 😏 dùmbuck,5,0,463.1.0.53.85,5/15/2024 21:56,463.1.0.53.85
1c6ded26-350b-4408-b1ac-2d0f2c331a4f,Hamza Ezzdini,Is not good,1,0,463.1.0.53.85,5/15/2024 21:55,463.1.0.53.85
2b4f635d-9163-48df-b676-33f327c643b0,Troy,a good way to meet new people and talk to people in your life and also see things you enjoy.,5,0,462.0.0.47.85,5/15/2024 21:54,462.0.0.47.85
9700b3fe-144c-40f6-a6a1-5b5ae68ce85e,Sange Dyantyisi,good,5,0,,5/15/2024 21:54,
ad4bd46e-c7d2-4803-939c-cf669cc2786e,MD SOHEL RANA TALUKDER,nice app,5,0,463.1.0.53.85,5/15/2024 21:53,463.1.0.53.85
7ae7cc64-1399-4f87-b1b5-c3c81726838f,Md. Azizul Fahim,excellent.not perfect,5,0,463.1.0.53.85,5/15/2024 21:50,463.1.0.53.85
92007b17-74eb-4e59-8fed-f6c339cef27d,Chelle M.M,I don't want nor need any help from AI Meta search. Completely useless .,4,0,463.1.0.53.85,5/15/2024 21:50,463.1.0.53.85
74d13a75-c608-4c58-b6a2-166287ea65ac,Richmond Adjei,great,5,0,463.0.0.45.85,5/15/2024 21:48,463.0.0.45.85
f64f9440-5e88-4435-ab93-7816780cd49e,Braylen Bustam,fire,5,0,463.1.0.53.85,5/15/2024 21:48,463.1.0.53.85
665b5081-3734-46a8-b023-87ce949172a9,Norhan Hany,good,5,0,463.1.0.53.85,5/15/2024 21:47,463.1.0.53.85
3e1116d4-96eb-4a79-a68c-55ddae8b60d7,"Serrano, John Angelo P.","Why is my account always suspended, and right now, disabled, WITHOUT ME DOING ANYTHING AGAINST THE COMMUNITY STANDARDS?!",1,0,463.1.0.53.85,5/15/2024 21:47,463.1.0.53.85
d10a3731-dc5c-4309-98d7-e3c2016e7957,Joel Garcia,OK,5,0,463.1.0.53.85,5/15/2024 21:46,463.1.0.53.85
